season,crop,Type,Name of Disease and Insect,Advisory
Rabi,Paddy,Pest,Gundhi Bug,"Today we will discuss about management of Gundhi Bug in Paddy crop. Gundhi Bug infest paddy crop during flowering to grain filling stage. When the bug suck the milk-sap at the grain filling stage and the grains become chaffy. At primary stage, use rotten snail bait @ 10 nos/ac each containing 100g at the height of paddy plant with the help of stick. Burn the cycle tube and tyre, if available in rice field to attract and kill the adults. You can also go for spraying of neem-based pesticide (Neem Oil 1500 PPM) @ 600-ml/acre by mixing it in 200-litre of water. Keep fire torch @ 5-8/ acre in evening hour. For chemical control spray Imidacloprid 17.8% SL @ 50 ml/ acre or Thiamethoxam 25% WG @ 50 g/acre by mixing in 200-litre of water. Dusting of Chlorpyriphos 1.5 % D @ 10-kg/acre should be done around the bond uniformly during morning hours, when there is no or minimum wind. Spraying or dusting of insecticide should be done from field bund side to center in spiral manner. Thank You. "
Rabi,Paddy,Pest,Brown Plant Hopper,"Both nymphs and adults appear in large numbers at the base of the plants above the water level. They suck the sap of the plant and plug the xylem and phloem vessels causing yellowing of leaves and drying of the plants in circular patches known as ‘Hopper burn'. The feeding and ovipositional marks predispose plants to fungal and bacterial infection, and the honeydew encourages sooty mould. Hoppers transmit grassy stunt, ragged stunt and wilted stunt virus diseases. To manage BPH in paddy, use balanced fertilizer. Do not keeping standing water in the field for longer period. Alter the micro-climate of the rice field by alternate wetting and drying technique. Make alleys at 6 feet spacing for sunlight entry and proper aeration below the crop zone. Spray neem based pesticides (300 ppm) @ 5 ml per litre (1 l/ac) or 1500 ppm @ 3 ml/l (600 ml/ac) at the base of the plant to conserve natural enemies and control BPH.If problem persists ETL (5-10/hill), spray Buprofezin 25% SC @ 400 ml/acre or Dinotefuran 20 % SG @ 80 g/acre or Flonicamid 50 % WG @ 60- gram/acre or Triflumezopyrim 10% SC @ 100 ml / acre at the base of the plant. Use only pesticides recommended for brown plant hopper at recommended dose only."
Rabi,Paddy,Pest,White-Backed Plant Hopper,"To manage WBPH in paddy, Split application of Nitrogenous fertilizer should be followed. Do not keeping standing water in the field for longer period. Alter the micro-climate of the rice field by alternate wetting and drying technique. Make alleys at 6 feet spacing for sunlight entry and proper aeration below the crop zone. If problem persists, spray Buprofezin 25% SC @ 400 ml/acre or Dinotefuran 20 % SG @ 80 g/acre or Flonicamid 50 % WG @ 60- gram/acre or Triflumezopyrim 10% SC @ 100 ml / acre at the base of the plant. Use only alternate and recommended pesticides for brown plant hopper at recommended dose only. Thank You. "
Rabi,Paddy,Pest,Neck Blast,Today we will discuss about neck blast disease and its management in paddy crop. Eye shaped grey spot are seen in the neck of panicle of paddy.  To manage these diseases first drain out excess water from the paddy field. Remove the weeds and keep the field clean. Foliar spray of Trichoderma viridae should be done @ 4 g/lit. of water. To manage this disease spray Hexaconazole 5 % SC @ 400-ml/acre or Azoxystrobin 18.2% + Difenoconazole 11.4 % S.C @ 200-ml/acre or Tebuconazole 50%+ Trifloxystrobin 25 % WG @ 120-gram/acre. Thank You.
Rabi,Paddy,Pest,False Smut,"Today we will discuss about false smut disease management in paddy. This fungal disease is normally seen in karif lowland. The disease symptoms appear after panicle emergence due to cloudy weather or drizzling rain. Plants infected with false smut have individual rice grain transformed into a mass of spore balls. These spore balls are initially orange, and then turn into greenish black when these mature. Seed treatment should be done with Carbendazim 50% WP @ 2-gram/ per kg of seeds or Carboxin 37.5 % + Thiram 37.5% D.S @ 2-gram/ kg of seeds. To manage this disease spray Copper Hydroxide 77 % WP @ 500-gram/acre or Chlorothalonil 75 % WP @ 400-gram/acre or Azoxystrobin 6.8% + Tricyclazole 20.4% SC @ 400 ml/acre by mixing in 200-litre of water. Thank You."
Rabi,Paddy,Pest,Panicle Mite,"Today we will discuss about panicle mite management in paddy crop. When there is attack of panicle mite, causes extensive damage to rice by sucking the cell contents of leaves, sheaths and grains and thus reducing the growth, vigour and yield of the plant. The feeding lesion can be detected by cinnamon to chocolate-brown discoloration of the leaf sheath. They feed on developing panicles from the boot stage to the milk stage of heading. It is often seen associated with the sheath rot disease. leaves become yellow, grains become chaffy. The mites are found in between the stem and sheath of the plant and not visible in naked eye. When the grain is pulled, it does not come out. Ripe grain turns brown in color and cracks are clearly visible. For chemical control spray the crop from P.I. stage twice at 10-15 days intervals with Propargite 57% EC @ 400 ml/acre or Fenazaquin 10% EC @ 400 ml/acre or Fenpyroximate 5% EC @ 400 ml/acre by mixing with 200 litres of water. Remember, thoroughly clean the cutting machine after harvesting of infested patches."
Rabi,Paddy,Pest,Whorl Maggot,"Today we will discuss about Whorl maggot management in paddy crop. Whorl maggot bore into the whorl and feed on the inner tissues. Affected leaves show small, irregular, whitish patches and become twisted or deformed. In severe cases, the central leaf (whorl leaf) dries up, giving a “dead heart” appearance. The crop looks pale and stunted, with reduced tillering. Apply Chlorpyriphos 20 EC @ 500 ml/acre or Fipronil 5 SC @ 400 ml/acre in 200 litres of water. Keep the water level shallow (2 cm) for 2–3 days after spraying, then resume normal irrigation. Rotate insecticides to prevent resistance buildup."
Rabi,Paddy,Pest,Earhead Caterpillar,Today we will discuss about Ear head caterpillar management in paddy crop. The pest incidence occurs when there is sudden temperature increase after flood or heavy rainfall. To manage the pest spray Chlorpyriphos 50 % + Cypermethrin 5 % EC @ 400-ml/acre or Profenophos 50 % EC @ 400-ml/acre. As the pest is nocturnal in behaviour spraying of pesticide should be done in the evening hours for better result. Thank You.
Rabi,Potato,Pest,Early Blight,"The lower leaves are affected first and gradually the upper leaves are affected. Small round to angular brown spots are seen on the lower leaves. Which grow and become larger over time. Round brown spots are first seen on the young leaves and the spots gradually grow and merge with one spot and cover the entire leaf and black scars are seen on the affected leaves. Apart from this, the spots are irregular in shape near the veins. To prevent this disease tuber treatment should be done with 6 g of Carbendazim and Mancozeb per lit of water. Deep the seed tubers in this solution for 20-25 minutes before planting.Uproot the infected plants and destroy outside the field. To manage early leaf blight in potato, spray Mancozeb 75% WP @600 gram/acre or Carbendazim 12% + Mancozeb 63% W.P @ 400-gram/acre. "
Rabi,Potato,Pest,Late Blight,"It attacks from top of the plant and infects the tubers. The lower leaves are affected by this disease, which turns from gray to purple and grows upwards. In warm or cloudy weather, the disease spreads to the tuber and the root system is damaged and the plant gets wilted and dies. To prevent this disease tuber treatment should be done with 6 g of Carbendazim and Mancozeb per lit of water. Deep the seed tubers in this solution for 20-25 minutes before planting. Uproot the infected plants and destroy outside the field. To manage, spray Mancozeb 75% WP @600 gram/acre or Carbendazim 12% + Mancozeb 63% W.P @ 400-gram/acre or Metalaxyl 8% + Mancozeb 64% W.P @ 400- gram/acre at 10 days interval."
Rabi,Potato,Pest,Bacterial Wilt,"It causes damage to the potato crop in two ways. It rots the roots while growing in the field. As a result, the plant withers and completely dies. It gets rot in storage rooms at the time of storage. When this disease attacks, the plant initially wilts and gradually dies completely. When the plant is uprooted, the root is found to be rotten and when this root is cut and dipped in a glass of clean water, white bacteria are seen to ooze out into the water in the form of veins. Two types of symptoms are seen on potatoes. First, the potatoes rot and when they are opened, the scabs are seen. First of all select bacterial wilt resistant variety for cultivation. Cultivate pulses, oilseeds, marigold etc. in the same field instead cultivating brinjal, tomato, chilli repeatedly. Summer cultivation can be done and cover the soil with thin transparent polythene for 45 days. Seed treatment can be done with Plantomycin @ 1.5 gm or Streptocycline @150 mg with Copper Oxychloride @ 2gm /liter of water and soak them for 10 minutes, dry them in shade and then sow in the nursery. Before transplanting in the mainfield, add Plantomycin @ 1gm/liter or Streptocycline @100 mg/ liter of water and soak the seedling roots in it for 15 minutes. Drenching the soil with Streptocycline @ 1.5 g or Plantomycin @ 15 g with Copper Oxychloride @ 30 g/ 10 liters of water."
Rabi,Potato,Pest,Potato Wart,"This disease is found in the root and tubers of potato, as well as in the fruiting shoot, stem and potato tubers etc. This disease causes deformities in the tubers and other parts of the plant and It looks like a wart on it. These deformed tubers has green to greenish white on the ground. But on the potato tubers these warts are large and black and brittle. Spray 2-Bromo-2-nitropropane-1,3 diol 95% W.W. @ 200 grams in 200 liters of water."
Rabi,Potato,Pest,Black Leg,"This is a bacterial disease of potato crops. This disease causes black spots on the stem above the soil. When the affected plant is at a certain height, it looks sickly and its leaves look green or yellow. Later, the affected plants wither and die. The affected potatoes rot in the field or during transportation. If you cut the rotten potato, the rotten part first looks colorless and then red and it emits a foul smell. Seed treatment with Plantomycin @ 200 grams or Thiophenate methyl 45% + Pyraclostrobin 50% FS. @ 10-15 grams per liter of water and soak the potato seed with Penflufen 22.43% FS. @ 0.083 ml/liter of water for 10 minutes before sowing. "
Rabi,Potato,Pest,Common Scab,This disease causes dark brown spots on the potato skin. Round or variously shaped stretch marks appear around the potato skin. Elevated stretch marks appear on the potato skin. 3-4 mm deep spots appear on these stretch marks. This disease is more common in poorly irrigated soil. Treat seed/tuber with Thiram 75% WS @ 3.0 gm/kg of seed/ tuber. To control this spray Mancozeb@600gm/acre.
Rabi,Potato,Pest,Potato Tuber Moth,"Today we will discuss about tuber moth pest management in potato crop. It is a pest of both field and storage. The Larva of potato tuber moth tunnels into foliage, stem, and tubers. To manage this pest, avoid shallow planting of tubers in areas where frequent infestation of Potato tuber moth occurs. Planting of seed tubers should be done at 10 cm depth. Do not leave the harvested tubers in the field overnight. Install light trap @ 1-2 per acre. To manage this pest chemically spray Spinosad 45 % SC @ 75-ml/acre or Emamectin Benzoate 5% SG @ 80-gram/ acre or Chlorantraniliprole 18.5 % SC @80-ml/acre or Indoxacarb 15.8% EC @ 400 ml/acre or Flubendiamide 20 % WG @ 20-gram/acre or Cyantraniliprole 10.26% OD @ 350 ml/acre."
Rabi,Potato,Pest,Cutworm,"The cut worm pests are nocturnal, and they hide below the soil during daytime.  In the early stages of crop, the Cut worm larvae cut the stem portion of the young plants near the ground and feed on the shoots and leaves at night. After tuber formation, they bore and nibble into the tubers affecting both tuber yield and market value. To manage cut worm in potato crop apply or dusting of Fipronil 0.3% G @ 8 kg/acre or Cartap hydrochloride 0.4% GR @ 10 kg/acre at the time of last ploughing. Cut Worm pest are nocturnal so insecticide spray should be done at evening hours. Dusting of Chlorpyriphos 1.5% DP@ 10-kg/acre should be done across the bund."
Rabi,Potato,Pest,Aphids,"They feed on sap from leaves, stems and flowers which can cause leaf distortion and stinting and wilting of plants. Direct feeding on leaves cause upper leaves to curl upward, become leathery known as False top roll.  Transmit viruses like Potato leaf roll, this reduce yield, poor tuber quality. To manage Aphids during primary stage of pest infestation spray Neem Based Pesticide 3000 PPM @ 600-ml/acre. Install yellow sticky traps @ 6-8/acre. To manage aphids chemically, spray Thiamethoxam 25% W.G @ 60-gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre or Dinotefuran 20 % SG @ 80-gram/acre or Flonicamid 50 % WG @ 60- gram/acre by mixing in 200 litre of water."
Rabi,Potato,Pest,Whitefly,"Both the young and adult insects suck the sap from the leaves and weaken the plant. The plant turns yellow due to their attack. To manage White fly during primary stage of pest infestation spray Neem Based Pesticide 3000 PPM @ 600-ml/acre. To manage chemically, spray Thiamethoxam 25% W.G @ 60-gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre by mixing in 200 litre of water."
Rabi,Potato,Pest,Leafhopper,"Nymphs and Adults suck sap from underside of leaf, leading to yellow patches, upward leaf curling, bronzed eventually hopper burn appearance. To manage Jassids during primary stage of pest infestation in Potato, spray Neem Based Pesticide (Azadirachtin) 1500 PPM @ 600-ml/acre. Instal Yellow sticky trap @ 10/acre. Seed To manage these pests chemically, spray Acetamiprid 20% SC @ 40 gram/acre or Emamectin Benzoate 3% + Thiamethoxam 12% WG @ 125 gram/acre or Thiamethoxam 25% W.G @ 40-gram/acre or Dinotefuran 20 % SG @ 80-gram/acre or Flonicamid 50 % WG @ 60- gram/acre by mixing in 200 litre of water."
Rabi,Potato,Pest,Thrips,"Today we will discuss about Thrips management in Potato. Very small, tiny insects suck the sap from leaves, flowers and stems, causing the leaves to curl. Trimming of field bunds and cleaning for weed removal should be done. Split application of nitrogenous fertilizer should be followed. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM @ 600-ml/acre by mixing it in 200-litre of water. Install 8-10 Nos of Blue sticky traps per acre. At primary stage of infestation, spray Verticillium lecani @ 5 g/lit of water. Along with this broadcast 5000 no. of eggs of Chrysoperla carnea per acre by mixing with saw dust. Try to conserve other parasitoids in field like Coccinellid beetle and syrphid fly. To manage Thrips chemically spray Thiamethoxam 25% W.G @ 60 gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre or Tolfenpyrad 15 % EC @ 400-ml/acre by mixing in 200 litres of water. Thank You."
